정류소노드 아이디,정류소명,경도,위도,지자체코드,지자체명
152000009,비산지하도1,128.5719368,35.880735,152,서구
152000010,대구은행북비산지점건너1,128.5714429,35.877891,152,서구
152000012,대구은행북비산지점앞,128.5711351,35.87815,152,서구
152000013,서부시장건너,128.571043,35.875014,152,서구
152000014,서부시장앞,128.5713389,35.874307,152,서구
152000016,서대구초등학교입구,128.559114,35.887939,152,서구
152000018,비산7동우체국건너,128.5602278,35.888626,152,서구
152000020,북부정류장,128.5556839,35.884274,152,서구
152000021,반고개역(3번출구),128.5738369,35.862318,152,서구
152000022,반고개2,128.5684909,35.860957,152,서구
152000024,반고개1,128.5697452,35.861672,152,서구
152000025,현대해상건너,128.562417,35.859693,152,서구
152000026,현대해상앞,128.561251,35.858875,152,서구
152000027,두류역(달성고등학교건너),128.555226,35.856785,152,서구
152000028,두류역(달성고등학교앞),128.5547501,35.857104,152,서구
152000030,감삼네거리1,128.5493962,35.855042,152,서구
152000031,감삼네거리2,128.549129,35.854434,152,서구
152000033,북부정류장,128.5558661,35.884318,152,서구
152000034,한국전력서대구지점앞,128.5710001,35.8703,152,서구
152000035,구)대영학원앞,128.5710001,35.8678,152,서구
152000036,새길시장건너,128.571201,35.864432,152,서구
152000037,광장타운앞,128.5514971,35.855813,152,서구
152000038,만평네거리,128.562241,35.889087,152,서구
152000039,북부정류장건너,128.5578079,35.886076,152,서구
152000040,비산7동우체국앞1,128.5597591,35.888002,152,서구
152000041,서대구초등학교건너,128.559119,35.887656,152,서구
152000042,반고개(내당역4번출구),128.5667561,35.860899,152,서구
153000022,서부시외버스터미널,128.5576448,35.837334,153,남구
153000023,서부시외버스터미널,128.5578371,35.837414,153,남구
153000024,대봉네거리1,128.602526,35.854371,153,남구
153000025,대봉네거리2,128.602746,35.854051,153,남구
153000026,대구중학교건너,128.603268,35.851072,153,남구
153000027,대구중학교앞,128.6035049,35.850726,153,남구
153000028,이천치안센터건너,128.6039441,35.847962,153,남구
153000029,이천새마을금고건너,128.6042749,35.846896,153,남구
153000030,봉덕시장건너3,128.6040661,35.845564,153,남구
153000031,봉덕시장앞2,128.6039239,35.845185,153,남구
153000032,봉덕교회앞,128.604006,35.843423,153,남구
153000033,봉덕2동새마을금고,128.6038181,35.841785,153,남구
153000034,봉덕2동새마을금고앞,128.603146,35.841961,153,남구
153000035,명보약국앞,128.6009251,35.842258,153,남구
153000036,명보약국건너,128.6002321,35.842243,153,남구
153000037,팔레스호텔앞1,128.5978972,35.841654,153,남구
153000038,팔레스호텔건너,128.5980682,35.841643,153,남구
153000039,봉덕교회건너,128.6042339,35.842469,153,남구
153000040,태성맨션앞,128.5954549,35.839783,153,남구
153000041,태성맨션건너,128.595272,35.83956,153,남구
153000042,봉덕변전소건너,128.595249,35.83707,153,남구
153000043,봉덕변전소앞,128.59524,35.837834,153,남구
153000044,앞산보성타운건너,128.5950449,35.835849,153,남구
153000045,앞산보성타운앞,128.5951432,35.835472,153,남구
153000046,대덕맨션앞,128.5966501,35.833969,153,남구
153000047,남구종합스포츠건너,128.597904,35.832834,153,남구
153000048,미리내맨션앞,128.600249,35.835012,153,남구
153000049,경일여자중학교앞,128.5989239,35.83743,153,남구
154000001,원대역2,128.5735601,35.887831,154,북구
154000002,팔달시장건너,128.570072,35.888388,154,북구
154000003,팔달시장앞,128.569986,35.888629,154,북구
154000004,팔달신시장,128.5657711,35.889277,154,북구
154000005,팔달시장역,128.566908,35.888825,154,북구
154000006,원대역1,128.5739201,35.888011,154,북구
154000007,동호동건너(북구),128.552423,35.959741,154,북구
154000008,동호동앞(북구),128.553048,35.959457,154,북구
154000009,팔거교,128.5559842,35.959634,154,북구
154000010,칠곡경대병원역건너2,128.5599971,35.960527,154,북구
154000011,칠곡경대병원역건너,128.560621,35.960154,154,북구
154000012,칠곡경대병원역,128.5606001,35.95976,154,북구
154000013,칠곡경북대병원건너(50사단),128.5662481,35.95759,154,북구
154000014,칠곡경북대병원,128.565819,35.957456,154,북구
154000015,칠곡경대병원후문,128.56576,35.95613,154,북구
154000016,칠곡경대병원정문앞,128.5644359,35.954968,154,북구
154000017,칠곡경대병원정문건너,128.5641029,35.954945,154,북구
154000018,학정청아람건너,128.5657441,35.954294,154,북구
154000019,학정청아람앞,128.5657931,35.953533,154,북구
154000020,경북농업기술원건너,128.5607311,35.956918,154,북구
154000021,경북농업기술원앞,128.5599791,35.957299,154,북구
154000022,경상북도농업인회관,128.55825,35.956732,154,북구
154000023,경북공무원교육원1,128.5572679,35.956574,154,북구
154000024,경북공무원교육원2,128.556,35.9562,154,북구
154000025,농촌진흥원입구,128.554861,35.954465,154,북구
154000026,대중금속공업고등학교앞,128.5538011,35.952848,154,북구
154000027,대중금속공업고등학교건너,128.554029,35.952627,154,북구
154000028,SD아이프라임강북아파트,128.5526959,35.950394,154,북구
154000029,칠곡중학교건너,128.55254,35.949307,154,북구
154000030,칠곡중학교앞,128.5515029,35.94769,154,북구
154000032,근로복지공단대구,128.5653589,35.951123,154,북구
154000033,근로복지공단대구병원,128.5649291,35.950907,154,북구
154000034,한라하우젠트건너,128.5644931,35.948394,154,북구
154000035,한라하우젠트,128.564771,35.948148,154,북구
154000036,동화골든빌(동편),128.5639369,35.945494,154,북구
154000037,칠곡부영1단지,128.564276,35.945459,154,북구
154000038,동화골든빌건너(남편),128.5630301,35.944098,154,북구
154000039,거동교1,128.552,35.9469,154,북구
154000040,홈플러스칠곡점앞,128.556,35.9454,154,북구
